"","term","estimate","std_error","statistic","p_value","lower_ci","upper_ci"
"1","intercept",2.175,0.701,3.103,0.002,0.801,3.548
"2","Log_price",0.032,0.004,7.843,0,0.024,0.04
"3","Log_rating_count",-0.241,0.006,-42.564,0,-0.252,-0.23
"4","Log_filesize",-0.056,0.014,-4.019,0,-0.083,-0.029
"5","Log_app_age_current_version",0.242,0.008,29.861,0,0.226,0.258
"6","DM$deviceindex: 2",-0.104,0.012,-8.794,0,-0.127,-0.081
"7","DM$appstoreindex: 2",2.68,0.842,3.181,0.001,1.029,4.331
"8","DM$appstoreindex: 3",2.361,0.449,5.254,0,1.48,3.242
"9","DM$rindex: 2",0.106,0.021,5.15,0,0.066,0.146
"10","DM$apptypeindex: 2",-0.18,0.019,-9.466,0,-0.217,-0.143
"11","DM$apptypeindex: 3",-1.155,0.025,-46.695,0,-1.203,-1.106
"12","DM$num_screenshot",0.049,0.007,6.656,0,0.034,0.063
"13","DM$average_rating",0.354,0.015,24.319,0,0.325,0.382
"14","DM$inapp_addummy: 3",0.166,0.027,6.026,0,0.112,0.219
"15","DM$inapp_purchasedummy: 3",-0.174,0.031,-5.683,0,-0.233,-0.114
"16","DM$categoryindex: 10",-0.133,0.08,-1.678,0.093,-0.289,0.022
"17","DM$categoryindex: 13",0.277,0.076,3.654,0,0.128,0.425
"18","DM$categoryindex: 14",0.302,0.504,0.598,0.55,-0.687,1.29
"19","DM$categoryindex: 17",0.341,0.101,3.372,0.001,0.143,0.539
"20","DM$categoryindex: 20",-0.03,0.107,-0.277,0.782,-0.238,0.179
"21","DM$categoryindex: 27",0.41,0.796,0.515,0.607,-1.151,1.97
"22","DM$categoryindex: 31",1.394,0.968,1.44,0.15,-0.503,3.291
"23","DM$categoryindex: 42",0.041,0.093,0.439,0.66,-0.141,0.222
"24","DM$categoryindex: 43",-1.788,0.846,-2.113,0.035,-3.447,-0.129
"25","DM$categoryindex: 47",0.124,0.089,1.404,0.16,-0.049,0.298
"26","DM$categoryindex: 53",NA,NA,NA,NA,NA,NA
"27","DM$developer: [adult swim] games",1.013,0.659,1.538,0.124,-0.278,2.305
"28","DM$developer: 11 bit studios",0.389,0.569,0.684,0.494,-0.726,1.504
"29","DM$developer: 21st Century Business Herald© 21世纪传媒",-1.594,0.575,-2.773,0.006,-2.722,-0.467
"30","DM$developer: 21st Century English Education Media© 2012 21世纪英文报",0.228,0.547,0.418,0.676,-0.843,1.3
